00:1A:EE	Shenztech
00:1B:10	KangHuiTechn
00:1B:11	DLink
00:1B:2F	Netgear
00:1B:43	DGTelecommun
00:1B:48	LantechElect
00:1B:65	ChinaGridcom
00:1B:82	TaiwanSemico
00:1B:C5:07:10/36	CenterforECo
00:1B:C5:09:A0/36	GuangLianZhi
00:1B:C5:0A:10/36	ZhipingTechn
00:1B:CA	RunTechnolog
00:1B:F1	NanjingSilve
00:1B:FC	ASUSTekCOMPU
00:1C:06	SiemensNumer
00:1C:0A	AEETechnolog
00:1C:47	HollysysAuto
00:1C:50	TCLTechnolyE
00:1C:55	KaifaTechnol
00:1C:61	GalaxyMicros
00:1C:68	AnhuiSunCrea
00:1C:AD	Telecommunic
00:1C:CA	GaozhiScienc
00:1C:D2	KingChampion
00:1C:E9	GalaxyTechno
00:1C:F0	DLink
00:1D:07	SangFeiConsu
00:1D:08	JiangsuYinhe
00:1D:0F	TpLinkTechno
00:1D:15	DolphinElect
00:1D:2A	BulTech
00:1D:2B	PontTechnolo
00:1D:32	LongkayCommu
00:1D:43	GlinkDigital
00:1D:60	ASUSTekCOMPU
00:1D:66	HyundaiTelec
00:1D:74	TianjinChina
00:1D:7D	GigaByteTech
00:1D:80	HuahuanEletr
00:1D:81	GuangzhouGat
00:1D:86	ShinwaIndust
00:1D:A4	SystemTechno
00:1D:B0	FuJianHengTo
00:1D:C5	JiaxunFeihon
00:1D:DC	DeChangLongT
00:1D:DE	ZhejiangBroa
00:1D:FA	FujianLANDIC
00:1D:FB	NETCLEUS
00:1E:10	HuaweiTechno
00:1E:1A	BestSourceTa
00:1E:24	ZhejiangBell
00:1E:2A	Netgear
00:1E:40	DareGlobalTe
00:1E:58	DLink
00:1E:6A	BluexonTechn
00:1E:6E	FirstMileCom
00:1E:73	zte
00:1E:8C	ASUSTekCOMPU
00:1E:CE	BISATechnolo
00:1E:E3	T&WElectroni
00:1E:E6	AdvancedVide
00:1F:07	AZTEQMobile
00:1F:33	Netgear
00:1F:55	HoneywellSec
00:1F:59	KronbackTrac
00:1F:64	AutelanTechn
00:1F:6F	FujianSunnad
00:1F:72	QingDaoHipho
00:1F:7C	WitelcomAS
00:1F:8F	BellmannDigi
00:1F:A3	T&WElectroni
00:1F:A4	GongjinElect
00:1F:BE	MopnetIndust
00:1F:BF	FulhuaMicroe
00:1F:C6	ASUSTekCOMPU
00:1F:CF	MSITechnolog
00:1F:D0	GigaByteTech
00:1F:D6	Allywll
00:20:8C	GalaxyNetwor
00:20:8F	ECITelecom
00:20:DC	DensitronTai
00:20:ED	GigaByteTech
00:21:0D	SamsinInnote
00:21:26	TorchEquipme
00:21:27	TpLinkTechno
00:21:49	ChinaDahengG
00:21:4B	HAMPScienceT
00:21:4D	GuangzhouSky
00:21:91	DLink
00:21:92	BaodingGalax
00:21:CB	SmsTecnologi
00:21:DB	SantachiVide
00:21:DC	TECNOALARM
00:22:15	ASUSTekCOMPU
00:22:3F	Netgear
00:22:44	LinkonCommun
00:22:59	GuangzhouNew
00:22:6D	GIECElectron
00:22:78	TongfangMult
00:22:7E	30KaitianCom
00:22:93	zte
00:22:A1	HuaweiSymant
00:22:AB	TurbosightTe
00:22:AC	SiyuanTech
00:22:B0	DLink
00:22:C0	ForcelinkEle
00:22:D8	GSTSecuritya
00:22:DE	OPPODigital
00:23:54	ASUSTekCOMPU
00:23:55	KincoAutomat
00:23:66	SiasunElectr
00:23:89	H3CTechnolog
00:23:91	Maxian
00:23:9E	JiangsuLemot
00:23:A9	DetianquanEl
00:23:B8	SichuanJiuzh
00:23:C9	SichuanTiany
00:23:CB	FulljoinTech
00:23:CD	TpLinkTechno
00:23:F0	JinghanWeigh
00:23:FF	HTTCTechnolo
00:24:01	DLink
00:24:1D	GigaByteTech
00:24:23	AzureWaveTec
00:24:25	Shenzhenshic
00:24:47	Kaztek
00:24:49	ShenZhenLite
00:24:5A	NanjingPanda
00:24:89	VodafoneOmni
00:24:8C	ASUSTekCOMPU
00:24:94	BaoxinTech
00:24:9A	ZhongchuangT
00:24:A2	HongKongMidd
00:24:AC	DPtechTechno
00:24:B2	Netgear
00:24:B9	HigheasyElec
00:24:D0	SOGOODIndust
00:24:F1	FanhaiSanjia
00:25:12	zte
00:25:2A	GeeYaTechnol
00:25:5E	DareTechnolo
00:25:68	HuaweiTechno
00:25:71	ZhejiangTian
00:25:86	TpLinkTechno
00:25:92	GuangzhouShi
00:25:9B	PKUNITYMicro
00:25:9E	HuaweiTechno
00:25:A8	KontronTechn
00:25:A9	EmbedwayInfo
00:25:AA	SoulTechnolo
00:25:C9	HuapuDigital
00:25:DB	ATIElectroni
00:25:E1	SeeyooElectr
00:26:03	WistarTechno
00:26:18	ASUSTekCOMPU
00:26:2E	JiuzhouElect
00:26:4C	DigiVisionTe
00:26:5A	DLink
00:26:63	HuitaiweiTec
00:26:75	AztechElectr
00:26:8B	GuangzhouEsc
00:26:AC	LUSTERTeraba
00:26:BF	TemobiScienc
00:26:C5	GosunTelecom
00:26:D6	NingboAndyOp
00:26:E7	ONLANCommuni
00:26:EA	CheerchipEle
00:26:ED	zte
00:26:F2	Netgear
00:27:00	SiglentTechn
00:27:18	SuzhouNEWSEA
00:27:19	TpLinkTechno
00:27:1D	CombaTelecom
00:27:21	BaoanFendaIn
00:29:26	AppliedOptoe
00:2B:90	ZelusTechnol
00:2E:C7	HuaweiTechno
00:30:0A	AztechElectr
00:30:11	HMSIndustria
00:30:26	HeiTelDigita
00:30:56	HMSIndustria
00:30:67	BIOSTARMicro
00:30:91	TaiwanFirstL
00:30:AD	Communicatio
00:31:92	TPLink
00:34:FE	HuaweiTechno
00:3D:E1	HuaweiDevice
00:3F:10	GainStrongTe
00:46:4B	HuaweiTechno
00:4A:77	zte
00:4B:0D	HuaweiDevice
00:4B:F3	MercuryCommu
00:4C:E5	SichuanTiany
00:4F:1A	HuaweiTechno
00:50:BA	DLink
00:50:C2:07:30/36	AlstomSignal
